ENCAN #;LOT #;PRIX OUVERTURE;VALEUR MIN POUR VENDRE;ESTIMATION MIN;ESTIMATION MAX;GROUPE-CATÉGORIE;ARTISTE;DIMENSION (en po);DESCRIPTION;MÉDIUM;LIVRAISON;PHOTO 1;PHOTO 2;PHOTO 3;PHOTO 4
234;25a; 50,00  $ ;; 200  $ ; 300  $ ;Art-Paintings;Miyuki Tanobé;19½ x 15½;1983/Elle demanda un Coca-Cola, un hot-dog;Sérigraphie;Oui;25a_1.jpg;25a_2.jpg;25a_3.jpg;25a_4.jpg
234;26; 50,00  $ ;; 500  $ ; 800  $ ;Sculpture;Stanley Lewis;22 x 14;1994/Personnage et soleil;Pierre;Non;26_1.jpg;26_2.jpg;26_3.jpg;
234;27; 50,00  $ ;; 250  $ ; 400  $ ;Sculpture;Stanley Lewis;7 x 9;1994/Déchéance;Métal et pierre;Non;27_1.jpg;27_2.jpg;27_3.jpg;27_4.jpg
234;28; 50,00  $ ;; 200  $ ; 300  $ ;Art-Paintings;Gérard Tremblay;18 x 24;1980/Retour de guerre;Encre;Oui;28_1.jpg;28_2.jpg;28_3.jpg;28_4.jpg
234;29; 50,00  $ ;; 200  $ ; 300  $ ;Art-Paintings;Gérard Tremblay;10 x 12;1977/Le cœur dans l'aile;Encre;Oui;29_1.jpg;29_2.jpg;29_3.jpg;29_4.jpg
234;30; 50,00  $ ;; 200  $ ; 300  $ ;Art-Paintings;Yvan Schwartz;21½ x 14½;1975/Elvan;Aquarelle;Oui;30_1.jpg;30_2.jpg;30_3.jpg;30_4.jpg
234;31; 50,00  $ ;; 100  $ ; 200  $ ;Antiques & Collectibles - Sports Cards;Danny Dennis;11 x 8½;1996/Haida;Encre;Non;31_1.jpg;31_2.jpg;31_3.jpg;31_4.jpg
234;32; 20,00  $ ;; 75  $ ; 150  $ ;Art-Prints/Lithographs;Danny Dennis;9 x 6;Raven Stealing Sun;Sérigraphie;Oui;32_1.jpg;32_2.jpg;32_3.jpg;
234;33; 250,00  $ ;; 400  $ ; 600  $ ;Art-Paintings;François Carbu;18 x 21;Maisons et barques de pêcheurs au clair de lune;Huile sur toile;oui;33_1.jfif;33_2.jfif;33_3.jfif;
234;34; 500,00  $ ;; 1 000  $ ; 1 500  $ ;Art-Paintings;Raynald Leclerc;30 x 24;L'olivier du bleu ciel, Provence;Huile sur toile;oui;34_1.jfif;34_2.jfif;;
234;35; 4 000,00  $ ; 6 000,00  $ ; 8 000  $ ; 12 000  $ ;Art-Paintings;Jean Philippe Dallaire;26 x 18;1952/Pantin;Aquarelle (légères craquelures au papier);oui;35_1.jfif;35_2.jfif;;
234;36; 300,00  $ ;; 800  $ ; 1 200  $ ;Art-Paintings;Henri Masson;20 x 16;En ville;Huile sur toile;oui;36_1.jfif;36_2.jfif;;
234;37; 300,00  $ ;; 600  $ ; 1 000  $ ;Art-Paintings;Jean-Pierre Lafrance;9 x 33;1994/Maquette pour la murale ville d'Hamsted;Huile sur panneau;oui;37_1.jfif;37_2.jfif;;
234;38; 300,00  $ ;; 600  $ ; 1 000  $ ;Art-Paintings;Jean-Pierre Lafrance;10 x 33;1994/Maquette pour la murale ville d'Hamsted;Huile sur panneau;oui;38_1.jfif;38_2.jfif;;
234;38a; 2 000,00  $ ; 3 500,00  $ ; 5 000  $ ; 7 000  $ ;Art-Paintings;Marc Seguin;22 x 30,75;2022/Ange renard;Eau forte rehaussée;oui;38a_1.jfif;38a_2.jfif;38a_3.jfif;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
